,x,y,EC_0.60,EC_1.00,EC_end
14920,107753.911,183307.054,26.860329428075303,37.13889359688385,46.2208328217349
14921,107753.79,183307.235,26.70366118034311,37.049952844232834,46.1930822305596
14922,107753.734,183307.319,26.61622942815226,37.003045295870095,46.18152567173143
14923,107752.905,183308.551,25.96101711982583,37.26342375189456,47.505415177606274
14924,107752.846,183308.639,25.898641806092087,37.1440365586253,47.335088445540265
14925,107752.809,183308.693,25.898641806092087,37.1440365586253,47.335088445540265
14926,107752.748,183308.784,25.943815293841276,37.23787528209087,47.474667989595545
14927,107752.692,183308.867,25.98997450421122,37.435637400816205,47.83326262769693
14928,107752.601,183309.001,26.18986477379907,37.75238584169603,48.26386968493706
14929,107752.522,183309.12,26.53789029743945,37.964421518518996,48.35448184217618
14930,107752.439,183309.242,26.939035916763558,38.32772024503849,48.67484619748196
14931,107752.34,183309.39,27.315487581083815,38.730859052983796,49.07968839629593
14932,107752.226,183309.559,27.77523747826962,39.29140380118689,49.72090730372482
14933,107752.118,183309.719,28.020779620324213,39.768717016552486,50.460890615355424
14934,107752.02,183309.864,28.404631400817504,40.4513477757057,51.4213383718383
14935,107751.915,183310.02,29.140309116454112,41.27360296592149,52.320848477717554
14936,107751.788,183310.208,30.082885004348093,42.18989263401925,53.1954427149966
14937,107751.648,183310.417,31.13103234930631,43.27747135277326,54.25494360866825
14938,107751.48,183310.666,32.360089545983854,44.01446017472236,54.472087758042186
14939,107751.389,183310.801,34.088011113564846,44.76525655944856,54.14464594693233
14940,107751.349,183310.861,34.442297694791975,45.03708141542099,54.34818337074558
14941,107751.271,183310.977,35.86646961418002,46.00153699124122,54.74658175529763
14942,107751.09,183311.245,38.41094842042168,46.82268791744876,53.8540247554663
14943,107750.963,183311.435,39.82382713932209,47.56702823788297,54.01279294125953
14944,107750.762,183311.732,42.47230087063341,49.56940162281418,55.13703939438423
14945,107750.616,183311.949,43.400171786991926,50.50904738862893,56.10316990783709
14946,107750.456,183312.186,45.31031786399082,52.28937789756913,57.504114419614766
14947,107750.295,183312.425,46.10188894402166,53.10797655202458,58.36937333267621
14948,107750.106,183312.704,47.105994893174405,54.188655593289965,59.466291636762165
14949,107749.963,183312.916,47.93666841826044,55.23120853418355,60.65275471759243
14950,107749.701,183313.303,49.10093601388028,56.83808875230845,62.601487059252364
